725524,1.27
725554,1.95
725585,2.57
725616,2.94
725646,1.96
725677,2.37
725707,5.47
725738,11.00
725769,19.61
725797,11.95
725828,15.30
725858,24.63
725889,18.02
725919,8.91
725950,8.09
725981,7.99
726011,9.45
726042,12.92
726072,14.38
726103,16.78
726134,18.35
726163,16.59
726194,20.25
726224,18.65
726255,20.17
726285,24.69
726316,22.63
726347,26.25
726377,29.79
726408,28.41
726438,30.24
726469,22.97
726500,18.95
726528,20.41
726559,11.52
726589,11.43
726620,27.29
726650,33.15
726681,35.49
726712,38.58
726742,47.70
726773,48.41
726803,64.21
726834,67.60
726865,82.04
726893,36.76
726924,4.23
726954,5.69
726985,8.73
727015,13.79
727046,11.53
727077,15.21
727107,16.49
727138,19.83
727168,22.86
727199,21.02
727230,6.85
727258,8.99
727289,9.67
727319,9.56
727350,10.32
727380,12.39
727411,15.75
727442,19.78
727472,25.95
727503,32.43
727533,31.17
727564,29.06
727595,28.76
727624,26.86
727655,23.92
727685,23.00
727716,24.28
727746,26.21
727777,25.65
727808,27.66
727838,28.18
727869,26.40
727899,25.92
727930,28.52
727961,28.90
727989,28.36
728020,30.53
728050,30.90
728081,31.91
728111,32.73
728142,34.64
728173,37.23
728203,38.40
728234,38.38
728264,40.38
728295,42.76
728326,41.99
728354,46.42
728385,46.49
728415,47.95
728446,50.62
728476,6.87
728507,4.17
728538,3.83
728568,3.62
728599,4.07
728629,3.80
728660,3.37
728691,3.25
728719,4.26
728750,4.26
728780,4.25
728811,4.04
728841,4.02
728872,3.84
728903,3.32
728933,3.09
728964,2.88
728994,2.78
729025,2.58
729056,2.35
729085,2.22
729116,2.07
729146,2.01
729177,1.98
729207,1.93
729238,1.97
729269,1.90
729299,1.86
729330,1.80
729360,1.80
729391,1.73
729422,1.67
729450,1.64
729481,1.66
729511,1.58
729542,1.61
729572,1.60
729603,1.59
729634,1.59
729664,1.67
729695,3.04
729725,2.97
729756,2.67
729787,2.13
729815,2.20
729846,1.71
729876,1.63
729907,1.60
729937,1.70
729968,1.48
729999,2.49
730029,2.94
730060,2.63
730090,2.40
730121,2.18
730152,2.38
730180,3.33
730211,2.35
730241,2.02
730272,1.67
730302,1.66
730333,1.57
730364,1.49
730394,1.38
730425,1.39
730455,1.60
730486,1.46
730517,1.45
730546,1.45
730577,1.30
730607,1.49
730638,1.39
730668,1.31
730699,1.41
730730,1.22
730760,1.29
730791,1.22
730821,1.20
730852,1.27
730883,1.02
730911,1.26
730942,1.19
730972,1.34
731003,1.27
731033,1.50
731064,1.60
731095,1.32
731125,1.53
731156,1.39
731186,1.39
731217,1.53
731248,1.25
731276,1.37
731307,1.48
731337,1.41
731368,1.33
731398,1.54
731429,1.44
731460,1.38
731490,1.65
731521,1.54
731551,1.74
731582,1.97
731613,1.83
731641,1.78
731672,1.87
731702,1.97
731733,1.86
731763,2.08
731794,1.77
731825,1.68
731855,1.64
731886,1.34
731916,1.37
731947,1.27
731978,1.08
732007,1.38
732038,1.18
732068,1.23
732099,1.23
732129,1.29
732160,1.29
732191,1.25
732221,1.21
732252,1.25
732282,1.48
732313,1.38
732344,1.22
732372,1.53
732403,1.41
732433,1.50
732464,1.59
732494,1.51
732525,1.66
732556,1.50
732586,1.41
732617,1.38
732647,1.47
732678,1.43
732709,1.15
732737,1.42
732768,1.08
732798,1.28
732829,1.18
732859,1.17
732890,1.26
732921,1.06
732951,1.09
732982,1.02
733012,0.99
733043,1.08
733074,0.87
733102,1.05
733133,0.94
733163,1.03
733194,0.91
733224,0.97
733255,0.99
733286,0.80
733316,0.93
733347,0.84
733377,0.84
733408,0.93
733439,0.80
733468,0.84
733499,0.90
733529,0.88
733560,0.96
733590,1.07
733621,1.02
733652,1.10
733682,1.18
733713,1.02
733743,1.12
733774,1.05
733805,0.86
733833,0.97
733864,0.84
733894,0.77
733925,0.76
733955,0.79
733986,0.69
734017,0.69
734047,0.69
734078,0.66
734108,0.73
734139,0.66
734170,0.59
734198,0.76
734229,0.67
734259,0.75
734290,0.79
734320,0.86
734351,0.89
734382,0.85
734412,0.81
734443,0.81
734473,0.93
734504,0.86
734535,0.84
734563,0.92
734594,0.84
734624,0.99
734655,0.96
734685,0.97
734716,1.07
734747,0.94
734777,0.88
734808,0.86
734838,0.91
734869,0.89
734900,0.75
734929,0.82
734960,0.71
734990,0.74
735021,0.64
735051,0.68
735082,0.69
735113,0.54
735143,0.61
735174,0.55
735204,0.55
735235,0.60
735266,0.49
735294,0.55
735325,0.61
735355,0.60
735386,0.61
735416,0.72
735447,0.71
735478,0.71
735508,0.81
735539,0.72
735569,0.79
735600,0.85
735631,0.79
735659,0.77
735690,0.82
735720,0.87
735751,0.82
735781,0.95
735812,0.87
735843,0.91
735873,0.95
735904,0.84
735934,0.96
735965,0.94
735996,0.82
736024,1.04
736055,0.95
736085,0.99
736116,1.07
736146,1.18
736177,1.11
736208,1.11
736238,1.11
736269,1.06
736299,1.16
736330,1.06
736361,1.00
736390,1.16
736421,1.06
736451,1.11
736482,1.16
736512,1.11
736543,1.22
736574,1.11
736604,1.05
736635,1.04
736665,1.12
736696,1.09
736727,0.87
736755,1.05
736786,0.79
736816,0.93
736847,0.81
736877,0.76
